DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,PASSENGERS,DISTANCE,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_TYPE,ORIGIN_STATE_ABR,DEST_STATE_ABR,MONTH
1,1,30,30,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,1
1,1,30,17,444,Via Airlines d/b/a Charter Air Transport,SFB,CLT,461,FL,NC,7
2,2,60,2,444,Via Airlines d/b/a Charter Air Transport,SFB,CLT,461,FL,NC,1
3,3,90,46,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,10
8,8,240,194,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,6
9,9,270,165,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,5
9,9,270,214,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,7
9,8,240,193,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,4
9,9,270,172,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,8
9,6,180,82,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,9
1,1,30,8,444,Via Airlines d/b/a Charter Air Transport,SFB,CLT,461,FL,NC,12
2,2,60,40,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,12
2,2,60,55,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,11
1,1,30,29,363,Via Airlines d/b/a Charter Air Transport,UST,CLT,461,FL,NC,10
1,1,30,25,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,1
1,1,30,1,444,Via Airlines d/b/a Charter Air Transport,CLT,SFB,461,NC,FL,4
2,2,60,2,444,Via Airlines d/b/a Charter Air Transport,CLT,SFB,461,NC,FL,1
2,2,60,2,444,Via Airlines d/b/a Charter Air Transport,CLT,SFB,461,NC,FL,3
3,3,90,53,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,10
8,8,240,183,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,6
9,9,270,186,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,5
9,9,270,216,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,7
9,8,240,172,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,4
9,9,270,165,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,8
9,7,210,89,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,9
1,1,30,1,444,Via Airlines d/b/a Charter Air Transport,CLT,SFB,461,NC,FL,12
2,2,60,52,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,12
2,2,60,39,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,11
1,1,30,28,363,Via Airlines d/b/a Charter Air Transport,CLT,UST,461,NC,FL,10
1,1,30,4,91,Via Airlines d/b/a Charter Air Transport,AVL,CLT,461,NC,NC,11
1,1,30,3,221,Via Airlines d/b/a Charter Air Transport,CLT,CRW,461,NC,WV,1
14,14,420,36,286,Via Airlines d/b/a Charter Air Transport,CLT,PKB,461,NC,WV,10
21,21,630,80,178,Via Airlines d/b/a Charter Air Transport,CLT,BKW,461,NC,WV,10
23,22,660,102,286,Via Airlines d/b/a Charter Air Transport,CLT,PKB,461,NC,WV,2
29,27,810,146,286,Via Airlines d/b/a Charter Air Transport,CLT,PKB,461,NC,WV,5
29,23,690,121,286,Via Airlines d/b/a Charter Air Transport,CLT,PKB,461,NC,WV,4
29,29,870,158,286,Via Airlines d/b/a Charter Air Transport,CLT,PKB,461,NC,WV,8
29,23,690,112,286,Via Airlines d/b/a Charter Air Transport,CLT,PKB,461,NC,WV,9
30,26,780,137,286,Via Airlines d/b/a Charter Air Transport,CLT,PKB,461,NC,WV,3
31,31,930,179,286,Via Airlines d/b/a Charter Air Transport,CLT,PKB,461,NC,WV,6
32,32,960,178,286,Via Airlines d/b/a Charter Air Transport,CLT,PKB,461,NC,WV,7
32,26,780,143,286,Via Airlines d/b/a Charter Air Transport,CLT,PKB,461,NC,WV,1
45,31,930,232,178,Via Airlines d/b/a Charter Air Transport,CLT,BKW,461,NC,WV,2
47,26,780,133,178,Via Airlines d/b/a Charter Air Transport,CLT,BKW,461,NC,WV,1
51,51,1530,398,178,Via Airlines d/b/a Charter Air Transport,CLT,BKW,461,NC,WV,6
51,45,1350,277,178,Via Airlines d/b/a Charter Air Transport,CLT,BKW,461,NC,WV,3
51,39,1170,170,178,Via Airlines d/b/a Charter Air Transport,CLT,BKW,461,NC,WV,9
52,40,1200,319,178,Via Airlines d/b/a Charter Air Transport,CLT,BKW,461,NC,WV,4
52,48,1440,353,178,Via Airlines d/b/a Charter Air Transport,CLT,BKW,461,NC,WV,5
53,53,1590,438,178,Via Airlines d/b/a Charter Air Transport,CLT,BKW,461,NC,WV,7
54,52,1560,362,178,Via Airlines d/b/a Charter Air Transport,CLT,BKW,461,NC,WV,8
1,1,30,0,185,Via Airlines d/b/a Charter Air Transport,CLT,LWB,461,NC,WV,12
27,27,810,274,286,Via Airlines d/b/a Charter Air Transport,CLT,PKB,461,NC,WV,12
54,43,1290,257,178,Via Airlines d/b/a Charter Air Transport,CLT,BKW,461,NC,WV,12
1,1,30,2,185,Via Airlines d/b/a Charter Air Transport,CLT,LWB,461,NC,WV,11
36,35,1050,253,178,Via Airlines d/b/a Charter Air Transport,CLT,BKW,461,NC,WV,11
36,35,1050,243,286,Via Airlines d/b/a Charter Air Transport,CLT,PKB,461,NC,WV,11
31,16,480,141,178,Via Airlines d/b/a Charter Air Transport,CLT,BKW,461,NC,WV,10
33,15,450,97,286,Via Airlines d/b/a Charter Air Transport,CLT,PKB,461,NC,WV,10
14,14,420,42,286,Via Airlines d/b/a Charter Air Transport,PKB,CLT,461,WV,NC,10
23,22,660,76,286,Via Airlines d/b/a Charter Air Transport,PKB,CLT,461,WV,NC,2
27,25,750,187,286,Via Airlines d/b/a Charter Air Transport,PKB,CLT,461,WV,NC,3
27,27,810,65,178,Via Airlines d/b/a Charter Air Transport,BKW,CLT,461,WV,NC,10
29,22,660,116,286,Via Airlines d/b/a Charter Air Transport,PKB,CLT,461,WV,NC,9
30,29,870,218,286,Via Airlines d/b/a Charter Air Transport,PKB,CLT,461,WV,NC,5
30,30,900,265,286,Via Airlines d/b/a Charter Air Transport,PKB,CLT,461,WV,NC,6
31,25,750,108,286,Via Airlines d/b/a Charter Air Transport,PKB,CLT,461,WV,NC,1
31,23,690,177,286,Via Airlines d/b/a Charter Air Transport,PKB,CLT,461,WV,NC,4
32,32,960,242,286,Via Airlines d/b/a Charter Air Transport,PKB,CLT,461,WV,NC,8
33,32,960,267,286,Via Airlines d/b/a Charter Air Transport,PKB,CLT,461,WV,NC,7
48,32,960,244,178,Via Airlines d/b/a Charter Air Transport,BKW,CLT,461,WV,NC,2
49,27,810,164,178,Via Airlines d/b/a Charter Air Transport,BKW,CLT,461,WV,NC,1
51,40,1200,259,178,Via Airlines d/b/a Charter Air Transport,BKW,CLT,461,WV,NC,4
51,40,1200,151,178,Via Airlines d/b/a Charter Air Transport,BKW,CLT,461,WV,NC,9
52,49,1470,282,178,Via Airlines d/b/a Charter Air Transport,BKW,CLT,461,WV,NC,8
52,47,1410,284,178,Via Airlines d/b/a Charter Air Transport,BKW,CLT,461,WV,NC,5
52,52,1560,301,178,Via Airlines d/b/a Charter Air Transport,BKW,CLT,461,WV,NC,6
53,52,1560,326,178,Via Airlines d/b/a Charter Air Transport,BKW,CLT,461,WV,NC,7
54,46,1380,247,178,Via Airlines d/b/a Charter Air Transport,BKW,CLT,461,WV,NC,3
26,26,780,235,286,Via Airlines d/b/a Charter Air Transport,PKB,CLT,461,WV,NC,12
53,46,1380,283,178,Via Airlines d/b/a Charter Air Transport,BKW,CLT,461,WV,NC,12
1,1,30,3,185,Via Airlines d/b/a Charter Air Transport,LWB,CLT,461,WV,NC,11
1,1,30,4,276,Via Airlines d/b/a Charter Air Transport,PKB,AVL,461,WV,NC,11
34,33,990,215,286,Via Airlines d/b/a Charter Air Transport,PKB,CLT,461,WV,NC,11
37,36,1080,279,178,Via Airlines d/b/a Charter Air Transport,BKW,CLT,461,WV,NC,11
32,15,450,145,178,Via Airlines d/b/a Charter Air Transport,BKW,CLT,461,WV,NC,10
33,16,480,123,286,Via Airlines d/b/a Charter Air Transport,PKB,CLT,461,WV,NC,10
7,7,259,203,140,Piedmont Airlines,AGS,CLT,483,GA,NC,12
2,2,74,61,140,Piedmont Airlines,AGS,CLT,483,GA,NC,11
5,5,185,156,140,Piedmont Airlines,AGS,CLT,483,GA,NC,10
2,2,74,54,371,Piedmont Airlines,SBY,CLT,483,MD,NC,1
4,4,148,118,371,Piedmont Airlines,SBY,CLT,483,MD,NC,12
8,8,296,237,371,Piedmont Airlines,SBY,CLT,483,MD,NC,11
7,7,259,209,371,Piedmont Airlines,SBY,CLT,483,MD,NC,10
7,7,259,217,140,Piedmont Airlines,CLT,AGS,483,NC,GA,12
2,2,74,63,140,Piedmont Airlines,CLT,AGS,483,NC,GA,11
5,5,185,169,140,Piedmont Airlines,CLT,AGS,483,NC,GA,10
2,2,74,55,371,Piedmont Airlines,CLT,SBY,483,NC,MD,1
3,3,111,90,371,Piedmont Airlines,CLT,SBY,483,NC,MD,12
8,8,307,245,371,Piedmont Airlines,CLT,SBY,483,NC,MD,11
5,5,185,142,371,Piedmont Airlines,CLT,SBY,483,NC,MD,10
2,1,37,28,221,Piedmont Airlines,CLT,EWN,483,NC,NC,1
2,1,37,12,221,Piedmont Airlines,EWN,CLT,483,NC,NC,1
1,1,37,30,83,Piedmont Airlines,CLT,GSO,483,NC,NC,12
1,1,37,9,83,Piedmont Airlines,GSO,CLT,483,NC,NC,12
8,7,259,198,203,Piedmont Airlines,CLT,PGV,483,NC,NC,12
8,7,259,192,203,Piedmont Airlines,PGV,CLT,483,NC,NC,12
1,1,37,18,91,Piedmont Airlines,AVL,CLT,483,NC,NC,11
1,1,37,34,91,Piedmont Airlines,CLT,AVL,483,NC,NC,11
3,3,111,88,203,Piedmont Airlines,CLT,PGV,483,NC,NC,11
3,2,74,59,203,Piedmont Airlines,PGV,CLT,483,NC,NC,11
3,2,74,69,221,Piedmont Airlines,CLT,EWN,483,NC,NC,10
3,2,74,64,221,Piedmont Airlines,EWN,CLT,483,NC,NC,10
6,4,148,134,91,Piedmont Airlines,AVL,CLT,483,NC,NC,10
6,4,148,125,91,Piedmont Airlines,CLT,AVL,483,NC,NC,10
9,9,333,293,203,Piedmont Airlines,CLT,PGV,483,NC,NC,10
9,9,333,254,203,Piedmont Airlines,PGV,CLT,483,NC,NC,10
2,2,74,62,207,Piedmont Airlines,CLT,HHH,483,NC,SC,1
2,2,74,58,99,Piedmont Airlines,CLT,FLO,483,NC,SC,12
15,15,555,274,207,Piedmont Airlines,CLT,HHH,483,NC,SC,12
1,1,37,33,88,Piedmont Airlines,CLT,CAE,483,NC,SC,11
10,10,370,274,99,Piedmont Airlines,CLT,FLO,483,NC,SC,11
19,18,666,436,207,Piedmont Airlines,CLT,HHH,483,NC,SC,11
11,11,407,200,207,Piedmont Airlines,CLT,HHH,483,NC,SC,10
14,14,518,412,99,Piedmont Airlines,CLT,FLO,483,NC,SC,10
2,2,74,62,207,Piedmont Airlines,CLT,HHH,483,NC,SC,1
1,1,37,11,119,Piedmont Airlines,CLT,TRI,483,NC,TN,1
10,10,370,267,119,Piedmont Airlines,CLT,TRI,483,NC,TN,12
7,6,222,196,119,Piedmont Airlines,CLT,TRI,483,NC,TN,11
12,12,444,372,119,Piedmont Airlines,CLT,TRI,483,NC,TN,10
1,1,37,32,155,Piedmont Airlines,CLT,ROA,483,NC,VA,1
2,2,74,61,175,Piedmont Airlines,CLT,LYH,483,NC,VA,12
12,12,444,315,155,Piedmont Airlines,CLT,ROA,483,NC,VA,12
4,4,148,128,175,Piedmont Airlines,CLT,LYH,483,NC,VA,11
11,11,407,316,155,Piedmont Airlines,CLT,ROA,483,NC,VA,11
5,4,148,135,175,Piedmont Airlines,CLT,LYH,483,NC,VA,10
23,20,740,631,155,Piedmont Airlines,CLT,ROA,483,NC,VA,10
2,2,74,63,235,Piedmont Airlines,CLT,HTS,483,NC,WV,12
3,3,111,96,235,Piedmont Airlines,CLT,HTS,483,NC,WV,11
10,10,370,260,235,Piedmont Airlines,CLT,HTS,483,NC,WV,10
2,2,74,35,207,Piedmont Airlines,HHH,CLT,483,SC,NC,1
2,2,74,54,99,Piedmont Airlines,FLO,CLT,483,SC,NC,12
15,15,555,323,207,Piedmont Airlines,HHH,CLT,483,SC,NC,12
1,1,37,34,88,Piedmont Airlines,CAE,CLT,483,SC,NC,11
10,10,370,228,99,Piedmont Airlines,FLO,CLT,483,SC,NC,11
19,18,666,476,207,Piedmont Airlines,HHH,CLT,483,SC,NC,11
11,11,407,269,207,Piedmont Airlines,HHH,CLT,483,SC,NC,10
14,13,481,406,99,Piedmont Airlines,FLO,CLT,483,SC,NC,10
2,2,74,35,207,Piedmont Airlines,HHH,CLT,483,SC,NC,1
1,1,37,33,119,Piedmont Airlines,TRI,CLT,483,TN,NC,1
10,10,370,253,119,Piedmont Airlines,TRI,CLT,483,TN,NC,12
7,6,222,127,119,Piedmont Airlines,TRI,CLT,483,TN,NC,11
12,12,444,325,119,Piedmont Airlines,TRI,CLT,483,TN,NC,10
2,2,74,54,155,Piedmont Airlines,ROA,CLT,483,VA,NC,1
2,2,74,65,175,Piedmont Airlines,LYH,CLT,483,VA,NC,12
11,10,370,252,155,Piedmont Airlines,ROA,CLT,483,VA,NC,12
4,3,111,93,175,Piedmont Airlines,LYH,CLT,483,VA,NC,11
12,11,407,309,155,Piedmont Airlines,ROA,CLT,483,VA,NC,11
4,4,148,139,175,Piedmont Airlines,LYH,CLT,483,VA,NC,10
23,21,777,616,155,Piedmont Airlines,ROA,CLT,483,VA,NC,10
2,2,74,65,235,Piedmont Airlines,HTS,CLT,483,WV,NC,12
3,3,111,91,235,Piedmont Airlines,HTS,CLT,483,WV,NC,11
11,11,407,314,235,Piedmont Airlines,HTS,CLT,483,WV,NC,10
1,1,48,33,140,Piedmont Airlines,AGS,CLT,484,GA,NC,4
1,1,48,44,140,Piedmont Airlines,AGS,CLT,484,GA,NC,6
3,3,144,124,140,Piedmont Airlines,AGS,CLT,484,GA,NC,5
34,34,1632,1189,140,Piedmont Airlines,AGS,CLT,484,GA,NC,3
78,76,3648,2907,140,Piedmont Airlines,AGS,CLT,484,GA,NC,2
122,118,5664,4626,140,Piedmont Airlines,AGS,CLT,484,GA,NC,1
179,174,8352,7035,140,Piedmont Airlines,AGS,CLT,484,GA,NC,12
177,167,8016,7104,140,Piedmont Airlines,AGS,CLT,484,GA,NC,11
169,164,7872,7000,140,Piedmont Airlines,AGS,CLT,484,GA,NC,10
1,1,48,38,289,Piedmont Airlines,SBY,GSO,484,MD,NC,2
1,1,48,34,371,Piedmont Airlines,SBY,CLT,484,MD,NC,6
4,4,192,178,371,Piedmont Airlines,SBY,CLT,484,MD,NC,5
34,34,1632,1369,371,Piedmont Airlines,SBY,CLT,484,MD,NC,4
53,53,2544,2045,371,Piedmont Airlines,SBY,CLT,484,MD,NC,2
54,52,2496,2008,371,Piedmont Airlines,SBY,CLT,484,MD,NC,1
62,62,2976,2538,371,Piedmont Airlines,SBY,CLT,484,MD,NC,3
49,48,2304,1861,371,Piedmont Airlines,SBY,CLT,484,MD,NC,12
1,1,48,40,438,Piedmont Airlines,SBY,AVL,484,MD,NC,11
50,49,2352,2001,371,Piedmont Airlines,SBY,CLT,484,MD,NC,11
55,55,2640,2170,371,Piedmont Airlines,SBY,CLT,484,MD,NC,10
1,1,48,42,140,Piedmont Airlines,CLT,AGS,484,NC,GA,4
1,1,48,46,213,Piedmont Airlines,CLT,SAV,484,NC,GA,4
1,1,48,46,140,Piedmont Airlines,CLT,AGS,484,NC,GA,6
1,1,48,11,213,Piedmont Airlines,CLT,SAV,484,NC,GA,3
2,2,96,44,213,Piedmont Airlines,CLT,SAV,484,NC,GA,1
2,2,96,80,213,Piedmont Airlines,CLT,SAV,484,NC,GA,2
2,2,96,71,213,Piedmont Airlines,CLT,SAV,484,NC,GA,5
3,3,144,124,140,Piedmont Airlines,CLT,AGS,484,NC,GA,5
34,34,1632,1364,140,Piedmont Airlines,CLT,AGS,484,NC,GA,3
77,75,3600,2947,140,Piedmont Airlines,CLT,AGS,484,NC,GA,2
122,118,5664,4575,140,Piedmont Airlines,CLT,AGS,484,NC,GA,1
3,3,144,120,213,Piedmont Airlines,CLT,SAV,484,NC,GA,12
177,172,8256,6569,140,Piedmont Airlines,CLT,AGS,484,NC,GA,12
178,171,8208,7009,140,Piedmont Airlines,CLT,AGS,484,NC,GA,11
171,167,8016,6963,140,Piedmont Airlines,CLT,AGS,484,NC,GA,10
1,1,48,31,371,Piedmont Airlines,CLT,SBY,484,NC,MD,7
1,1,48,41,371,Piedmont Airlines,CLT,SBY,484,NC,MD,6
1,1,48,23,361,Piedmont Airlines,CLT,BWI,484,NC,MD,1
6,6,288,252,371,Piedmont Airlines,CLT,SBY,484,NC,MD,5
34,34,1632,1366,371,Piedmont Airlines,CLT,SBY,484,NC,MD,4
54,50,2400,1712,371,Piedmont Airlines,CLT,SBY,484,NC,MD,1
54,54,2592,1895,371,Piedmont Airlines,CLT,SBY,484,NC,MD,2
62,62,2976,2478,371,Piedmont Airlines,CLT,SBY,484,NC,MD,3
50,49,2352,1804,371,Piedmont Airlines,CLT,SBY,484,NC,MD,12
51,49,2352,1832,371,Piedmont Airlines,CLT,SBY,484,NC,MD,11
57,54,2592,1922,371,Piedmont Airlines,CLT,SBY,484,NC,MD,10
1,1,48,38,83,Piedmont Airlines,GSO,CLT,484,NC,NC,2
1,1,48,38,83,Piedmont Airlines,CLT,GSO,484,NC,NC,4
1,1,48,40,83,Piedmont Airlines,GSO,CLT,484,NC,NC,4
4,4,192,158,221,Piedmont Airlines,CLT,EWN,484,NC,NC,7
4,4,192,137,221,Piedmont Airlines,EWN,CLT,484,NC,NC,7
6,6,288,212,91,Piedmont Airlines,AVL,CLT,484,NC,NC,5
6,6,288,250,91,Piedmont Airlines,CLT,AVL,484,NC,NC,5
7,7,336,303,91,Piedmont Airlines,AVL,CLT,484,NC,NC,1
7,7,336,215,91,Piedmont Airlines,CLT,AVL,484,NC,NC,1
8,8,384,256,203,Piedmont Airlines,CLT,PGV,484,NC,NC,4
9,9,432,362,221,Piedmont Airlines,CLT,EWN,484,NC,NC,5
9,9,432,331,203,Piedmont Airlines,PGV,CLT,484,NC,NC,4
10,10,480,419,221,Piedmont Airlines,EWN,CLT,484,NC,NC,5
24,23,1104,933,221,Piedmont Airlines,CLT,EWN,484,NC,NC,6
24,23,1104,987,221,Piedmont Airlines,EWN,CLT,484,NC,NC,6
28,27,1296,1136,83,Piedmont Airlines,CLT,GSO,484,NC,NC,1
28,27,1296,1187,83,Piedmont Airlines,GSO,CLT,484,NC,NC,1
34,32,1536,1345,221,Piedmont Airlines,CLT,EWN,484,NC,NC,3
34,31,1488,1224,221,Piedmont Airlines,EWN,CLT,484,NC,NC,3
42,41,1968,1691,221,Piedmont Airlines,CLT,EWN,484,NC,NC,2
43,41,1968,1379,221,Piedmont Airlines,EWN,CLT,484,NC,NC,2
52,45,2160,1550,221,Piedmont Airlines,EWN,CLT,484,NC,NC,1
53,49,2352,1869,221,Piedmont Airlines,CLT,EWN,484,NC,NC,1
56,55,2640,2140,91,Piedmont Airlines,AVL,CLT,484,NC,NC,4
56,55,2640,2354,91,Piedmont Airlines,CLT,AVL,484,NC,NC,4
85,83,3984,3349,221,Piedmont Airlines,EWN,CLT,484,NC,NC,4
86,84,4032,3342,221,Piedmont Airlines,CLT,EWN,484,NC,NC,4
110,106,5088,3677,203,Piedmont Airlines,PGV,CLT,484,NC,NC,2
110,105,5040,3501,203,Piedmont Airlines,CLT,PGV,484,NC,NC,2
118,95,4560,3067,203,Piedmont Airlines,CLT,PGV,484,NC,NC,1
119,95,4560,3158,203,Piedmont Airlines,PGV,CLT,484,NC,NC,1
124,123,5904,4196,203,Piedmont Airlines,PGV,CLT,484,NC,NC,3
124,123,5904,4135,203,Piedmont Airlines,CLT,PGV,484,NC,NC,3
16,16,768,685,83,Piedmont Airlines,CLT,GSO,484,NC,NC,12
16,16,768,646,83,Piedmont Airlines,GSO,CLT,484,NC,NC,12
30,29,1392,1133,221,Piedmont Airlines,CLT,EWN,484,NC,NC,12
31,28,1344,1131,221,Piedmont Airlines,EWN,CLT,484,NC,NC,12
53,48,2304,1982,91,Piedmont Airlines,AVL,CLT,484,NC,NC,12
53,49,2352,1867,91,Piedmont Airlines,CLT,AVL,484,NC,NC,12
114,107,5136,3640,203,Piedmont Airlines,CLT,PGV,484,NC,NC,12
114,108,5184,3985,203,Piedmont Airlines,PGV,CLT,484,NC,NC,12
1,1,48,40,291,Piedmont Airlines,PGV,AVL,484,NC,NC,11
29,29,1392,1259,221,Piedmont Airlines,CLT,EWN,484,NC,NC,11
29,29,1392,1212,221,Piedmont Airlines,EWN,CLT,484,NC,NC,11
82,81,3888,3310,91,Piedmont Airlines,CLT,AVL,484,NC,NC,11
84,82,3936,3524,91,Piedmont Airlines,AVL,CLT,484,NC,NC,11
115,112,5376,4135,203,Piedmont Airlines,PGV,CLT,484,NC,NC,11
116,112,5376,3995,203,Piedmont Airlines,CLT,PGV,484,NC,NC,11
24,24,1152,1031,221,Piedmont Airlines,CLT,EWN,484,NC,NC,10
24,23,1104,985,221,Piedmont Airlines,EWN,CLT,484,NC,NC,10
105,101,4848,3836,203,Piedmont Airlines,CLT,PGV,484,NC,NC,10
105,98,4704,3968,203,Piedmont Airlines,PGV,CLT,484,NC,NC,10
107,99,4752,4254,91,Piedmont Airlines,CLT,AVL,484,NC,NC,10
107,98,4704,4050,91,Piedmont Airlines,AVL,CLT,484,NC,NC,10
1,1,48,39,88,Piedmont Airlines,CLT,CAE,484,NC,SC,6
1,1,48,29,75,Piedmont Airlines,CLT,GSP,484,NC,SC,1
3,3,144,123,88,Piedmont Airlines,CLT,CAE,484,NC,SC,4
3,3,144,97,75,Piedmont Airlines,CLT,GSP,484,NC,SC,4
6,6,288,195,99,Piedmont Airlines,CLT,FLO,484,NC,SC,4
9,9,432,262,99,Piedmont Airlines,CLT,FLO,484,NC,SC,7
9,9,432,372,207,Piedmont Airlines,CLT,HHH,484,NC,SC,7
26,24,1152,974,75,Piedmont Airlines,CLT,GSP,484,NC,SC,2
29,27,1296,458,99,Piedmont Airlines,CLT,FLO,484,NC,SC,5
37,36,1728,1320,75,Piedmont Airlines,CLT,GSP,484,NC,SC,3
64,64,3072,2512,88,Piedmont Airlines,CLT,CAE,484,NC,SC,3
71,70,3360,2383,99,Piedmont Airlines,CLT,FLO,484,NC,SC,6
80,70,3360,2112,207,Piedmont Airlines,CLT,HHH,484,NC,SC,2
82,81,3888,2632,99,Piedmont Airlines,CLT,FLO,484,NC,SC,2
89,86,4128,2883,99,Piedmont Airlines,CLT,FLO,484,NC,SC,3
89,78,3744,2469,99,Piedmont Airlines,CLT,FLO,484,NC,SC,1
89,68,3264,1635,207,Piedmont Airlines,CLT,HHH,484,NC,SC,1
90,88,4224,3067,207,Piedmont Airlines,CLT,HHH,484,NC,SC,6
90,83,3984,2727,207,Piedmont Airlines,CLT,HHH,484,NC,SC,4
91,85,4080,2882,207,Piedmont Airlines,CLT,HHH,484,NC,SC,5
92,90,4320,2887,207,Piedmont Airlines,CLT,HHH,484,NC,SC,3
99,97,4656,3836,88,Piedmont Airlines,CLT,CAE,484,NC,SC,2
136,128,6144,5118,88,Piedmont Airlines,CLT,CAE,484,NC,SC,1
11,11,528,398,75,Piedmont Airlines,CLT,GSP,484,NC,SC,12
44,42,2016,1668,88,Piedmont Airlines,CLT,CAE,484,NC,SC,12
71,67,3216,1924,207,Piedmont Airlines,CLT,HHH,484,NC,SC,12
98,96,4608,3221,99,Piedmont Airlines,CLT,FLO,484,NC,SC,12
14,14,672,579,88,Piedmont Airlines,CLT,CAE,484,NC,SC,11
64,56,2688,1664,207,Piedmont Airlines,CLT,HHH,484,NC,SC,11
101,99,4752,3256,99,Piedmont Airlines,CLT,FLO,484,NC,SC,11
6,5,240,218,75,Piedmont Airlines,CLT,GSP,484,NC,SC,10
77,71,3408,2139,207,Piedmont Airlines,CLT,HHH,484,NC,SC,10
96,91,4368,3039,99,Piedmont Airlines,CLT,FLO,484,NC,SC,10
1,1,48,39,88,Piedmont Airlines,CLT,CAE,484,NC,SC,6
1,1,48,29,75,Piedmont Airlines,CLT,GSP,484,NC,SC,1
3,3,144,123,88,Piedmont Airlines,CLT,CAE,484,NC,SC,4
3,3,144,97,75,Piedmont Airlines,CLT,GSP,484,NC,SC,4
6,6,288,195,99,Piedmont Airlines,CLT,FLO,484,NC,SC,4
9,9,432,262,99,Piedmont Airlines,CLT,FLO,484,NC,SC,7
9,9,432,372,207,Piedmont Airlines,CLT,HHH,484,NC,SC,7
26,24,1152,974,75,Piedmont Airlines,CLT,GSP,484,NC,SC,2
29,27,1296,458,99,Piedmont Airlines,CLT,FLO,484,NC,SC,5
37,36,1728,1320,75,Piedmont Airlines,CLT,GSP,484,NC,SC,3
64,64,3072,2512,88,Piedmont Airlines,CLT,CAE,484,NC,SC,3
71,70,3360,2383,99,Piedmont Airlines,CLT,FLO,484,NC,SC,6
80,70,3360,2112,207,Piedmont Airlines,CLT,HHH,484,NC,SC,2
82,81,3888,2632,99,Piedmont Airlines,CLT,FLO,484,NC,SC,2
89,78,3744,2469,99,Piedmont Airlines,CLT,FLO,484,NC,SC,1
89,68,3264,1635,207,Piedmont Airlines,CLT,HHH,484,NC,SC,1
89,86,4128,2883,99,Piedmont Airlines,CLT,FLO,484,NC,SC,3
90,88,4224,3067,207,Piedmont Airlines,CLT,HHH,484,NC,SC,6
90,83,3984,2727,207,Piedmont Airlines,CLT,HHH,484,NC,SC,4
91,85,4080,2882,207,Piedmont Airlines,CLT,HHH,484,NC,SC,5
92,90,4320,2887,207,Piedmont Airlines,CLT,HHH,484,NC,SC,3
99,97,4656,3836,88,Piedmont Airlines,CLT,CAE,484,NC,SC,2
136,128,6144,5118,88,Piedmont Airlines,CLT,CAE,484,NC,SC,1
4,4,192,127,119,Piedmont Airlines,CLT,TRI,484,NC,TN,7
16,15,720,412,119,Piedmont Airlines,CLT,TRI,484,NC,TN,2
31,31,1488,842,119,Piedmont Airlines,CLT,TRI,484,NC,TN,3
33,33,1584,1217,119,Piedmont Airlines,CLT,TRI,484,NC,TN,5
34,33,1584,1299,119,Piedmont Airlines,CLT,TRI,484,NC,TN,6
59,59,2832,1783,119,Piedmont Airlines,CLT,TRI,484,NC,TN,4
130,123,5904,3845,119,Piedmont Airlines,CLT,TRI,484,NC,TN,1
136,133,6384,4320,119,Piedmont Airlines,CLT,TRI,484,NC,TN,12
132,129,6192,4360,119,Piedmont Airlines,CLT,TRI,484,NC,TN,11
133,130,6240,4941,119,Piedmont Airlines,CLT,TRI,484,NC,TN,10
1,1,48,41,245,Piedmont Airlines,CLT,CHO,484,NC,VA,4
1,1,48,47,282,Piedmont Airlines,CLT,PHF,484,NC,VA,6
2,2,96,88,245,Piedmont Airlines,CLT,CHO,484,NC,VA,6
2,2,96,78,175,Piedmont Airlines,CLT,LYH,484,NC,VA,7
10,10,480,402,155,Piedmont Airlines,CLT,ROA,484,NC,VA,7
30,30,1440,1054,175,Piedmont Airlines,CLT,LYH,484,NC,VA,6
31,31,1488,1302,175,Piedmont Airlines,CLT,LYH,484,NC,VA,5
