AC_TYPEID,SSD_NAME,SHORT_NAME
715,BOEING 727-200,B727-2
717,MRJ-70/STD/ER/LR,MRJ-70
718,MRJ-90/STD/SR/LR,MRJ-90
719,A319-200N,A319NEO
720,BOMBARDIER CS100,CS100
721,A321-200N,A321NEO
722,A320-200N,A320NEO
723,A220-100 BD-500-1A,A220-1
724,A220-300 BD-500-1A,A220-3
725,DASSAULT FALCON 8X,FALCON8X
730,DOUGLAS DC-10-10,DC-10-10
731,DOUGLAS DC-10-20,DC-10-20
732,DOUGLAS DC-10-30,DC-10-30
733,DOUGLAS DC-10-40,DC-10-40
735,DOUGLAS DC-10-30CF,DC10-30F
737,BOEING 737 MAX 7,MAX 7
740,MD-11,MD-11
745,EMBRAER-550,EMB-550
750,GULFSTREAM G650,G650
755,EMBRAER LEGACY 600,LEG-600
760,L-1011-1/100/200,L-1011
765,L-1011-500 TRISTAR,L-1011
770,FALCON 900,FA-900
771,FALCON 50,FA-50
774,DASSAULT FALCON ,DA 2000
775,DASSAULT FALCON 7X,FALCON7X
780,TUPOLEV 154,TU-154
788,GLOBAL 6000,GL6000
792,YAKOLEV 42,YAK-42
800,BOEING 707-100,B707-100
802,BOEING 707-100B,B707-1B
804,BOEING 707-200,B707-2
806,BOEING 707-300,B707-3
808,BOEING 707-300B,B707-3B
809,BOEING 707-300C,B707-3C
810,BOEING 707-400,B707-4
812,BOEING 720,B720-0
814,BOEING 720-B,B720-B
816,BOEING 747-100,B747-100
817,BOEING 747-200/300,B747-2/3
818,BOEING 747C,B747C
819,BOEING 747-400,B747-4
820,BOEING 747-4F,B747-4F
821,BOEING B747-8,B747-8
822,BOEING 747SP,B747SP
823,BOEING 747-200F,B747-2F
825,CONVAIR 880,CV-880
830,CONVAIR 990,CORONADO
833,EMB LEGACY 650,LEG-650
835,AVROLINER RJ85,AV RJ85
836,A350-1000,A35K
837,B787-10 DREAMLINER,B787-10
838,B737 MAX 800,MAX 8
839,B737 MAX 900,MAX 9
840,DOUGLAS DC-8-10,DC-8-10
842,DOUGLAS DC-8-20,DC-8-20
844,DOUGLAS DC-8-30,DC-8-30
846,DOUGLAS DC-8-40,DC-8-40
848,DOUGLAS DC-8-50,DC-8-50
850,DOUGLAS DC-8-50F,DC-8-50F
851,DOUGLAS DC-8-61,DC-8-61
852,DOUGLAS DC-8-63F,DC-8-63F
854,DOUGLAS DC-8-62,DC-8-62
856,DOUGLAS DC-8-63,DC-8-63
860,DOUGLAS DC-8-71,DC-8-71
862,DOUGLAS DC-8-72,DC-8-72
864,DOUGLAS DC-8-73,DC-8-73
865,DOUGLAS DC-8-73F,DC-8-73F
866,BAE-146-100/RJ70,BAE146-1
867,BAE-146-200,BAE146-2
868,BAE-146-300,BAE146-3
870,LOCKHEED JETSTAR,JETSTAR
871,A340-300,A340-3
872,A340-500,A340-5
873,A340-200,A340-2
874,A340-600,A340-6
875,CONCORDE,CONCORDE
876,ILYUSHIN 62,IL-62
877,ILYUSHIN 76/TD,IL-76/TD
878,ILYUSHIN 86,IL-86
879,ILYUSHIN 96,IL-96
880,ANTONOV 124,AN-124
881,IL-96-40T,IL-96-4T
882,A380-800,A380-8
887,B787-8 DREAMLINER,B787-8
888,B737-900ER,B737-9ER
889,B787-9 DREAMLINER,B787-9
890,ANTONOV 225,AN-225
